,Fecha,Close,Open,Max,Min,Vol,Var
69,"Dec 30, 2020",271.87,277.73,277.90,271.79,11.80M,-1.77%
70,"Dec 29, 2020",276.78,276.95,280.48,276.33,16.38M,-0.08%
71,"Dec 28, 2020",277.00,268.88,277.27,265.73,23.30M,3.59%
72,"Dec 24, 2020",267.40,268.88,270.40,266.20,6.70M,-0.26%
73,"Dec 23, 2020",268.11,267.13,272.14,266.30,14.33M,0.38%
74,"Dec 22, 2020",267.09,271.06,271.29,264.73,17.34M,-2.09%
75,"Dec 21, 2020",272.79,272.36,274.52,267.85,16.55M,-1.31%
76,"Dec 18, 2020",276.40,275.77,278.00,271.14,26.69M,0.70%
77,"Dec 17, 2020",274.48,277.20,280.42,273.63,16.38M,-0.43%
78,"Dec 16, 2020",275.67,274.76,277.86,272.51,15.56M,0.04%
79,"Dec 15, 2020",275.55,275.50,276.00,267.52,23.98M,0.50%
80,"Dec 14, 2020",274.19,272.98,277.19,271.74,16.38M,0.23%
81,"Dec 11, 2020",273.55,274.53,276.48,270.25,14.39M,-1.29%
82,"Dec 10, 2020",277.12,275.27,278.72,271.89,20.07M,-0.29%
83,"Dec 09, 2020",277.92,282.71,287.58,272.28,25.19M,-1.93%
84,"Dec 08, 2020",283.40,285.90,285.99,281.57,10.75M,-0.76%
85,"Dec 07, 2020",285.58,278.32,288.44,278.26,13.01M,2.10%
86,"Dec 04, 2020",279.70,280.30,283.46,279.30,10.88M,-0.76%
87,"Dec 03, 2020",281.85,286.15,286.61,281.13,12.92M,-1.97%
88,"Dec 02, 2020",287.52,285.37,291.66,280.94,17.36M,0.34%
89,"Dec 01, 2020",286.55,279.12,289.26,279.06,20.78M,3.46%
90,"Nov 30, 2020",276.97,276.03,277.70,271.01,16.55M,-0.30%
91,"Nov 27, 2020",277.81,277.39,279.13,274.82,7.81M,0.81%
92,"Nov 25, 2020",275.59,278.14,280.18,272.65,12.47M,-0.48%
93,"Nov 24, 2020",276.92,268.48,277.79,267.94,16.93M,3.16%
94,"Nov 23, 2020",268.43,270.69,270.69,264.55,20.99M,-0.47%
95,"Nov 20, 2020",269.70,272.56,273.00,269.41,18.12M,-1.19%
96,"Nov 19, 2020",272.94,271.02,273.47,269.25,12.96M,0.36%
97,"Nov 18, 2020",271.97,274.09,277.38,271.97,12.15M,-1.10%
98,"Nov 17, 2020",275.00,277.00,277.34,273.37,15.04M,-1.42%
99,"Nov 16, 2020",278.96,275.33,279.00,274.65,12.97M,0.73%
100,"Nov 13, 2020",276.95,277.72,277.76,273.10,10.40M,0.68%
101,"Nov 12, 2020",275.08,277.34,279.70,274.51,12.91M,-0.51%
102,"Nov 11, 2020",276.48,273.50,278.38,272.99,14.96M,1.49%
103,"Nov 10, 2020",272.43,273.14,273.52,264.04,29.07M,-2.27%
104,"Nov 09, 2020",278.77,290.00,292.50,278.69,25.12M,-4.99%
105,"Nov 06, 2020",293.41,293.95,294.60,288.06,13.89M,-0.43%
106,"Nov 05, 2020",294.68,292.00,297.30,289.11,23.82M,2.54%
107,"Nov 04, 2020",287.38,281.52,288.94,278.71,35.36M,8.32%
108,"Nov 03, 2020",265.30,263.16,270.05,260.88,17.84M,1.51%
109,"Nov 02, 2020",261.36,264.60,270.47,257.34,27.17M,-0.67%
110,"Oct 30, 2020",263.11,274.50,276.70,259.10,47.30M,-6.31%
111,"Oct 29, 2020",280.83,276.55,283.60,273.78,32.37M,4.92%
112,"Oct 28, 2020",267.67,278.79,278.79,267.26,23.12M,-5.51%
113,"Oct 27, 2020",283.29,278.76,284.51,276.31,16.29M,2.23%
114,"Oct 26, 2020",277.11,283.16,285.23,274.26,21.32M,-2.70%
115,"Oct 23, 2020",284.79,278.80,285.24,276.82,17.54M,2.40%
116,"Oct 22, 2020",278.12,279.87,282.45,275.04,16.72M,-0.22%
117,"Oct 21, 2020",278.73,279.56,283.05,276.37,29.00M,4.17%
118,"Oct 20, 2020",267.56,263.06,269.70,262.88,18.76M,2.36%
119,"Oct 19, 2020",261.40,265.53,268.55,259.88,13.59M,-1.70%
120,"Oct 16, 2020",265.93,267.38,271.37,265.30,16.62M,-0.30%
121,"Oct 15, 2020",266.72,267.60,269.04,263.67,15.42M,-1.88%
122,"Oct 14, 2020",271.82,277.62,278.75,271.50,15.60M,-1.56%
123,"Oct 13, 2020",276.14,277.58,279.10,273.39,18.06M,0.14%
124,"Oct 12, 2020",275.75,270.20,280.18,267.87,31.02M,4.27%
125,"Oct 09, 2020",264.45,264.52,264.75,262.17,14.11M,0.26%
126,"Oct 08, 2020",263.76,259.75,264.62,259.15,16.31M,2.19%
127,"Oct 07, 2020",258.12,259.21,260.18,254.82,23.13M,-0.21%
128,"Oct 06, 2020",258.66,261.78,265.69,258.24,18.70M,-2.26%
129,"Oct 05, 2020",264.65,262.20,264.87,260.84,12.82M,1.81%
130,"Oct 02, 2020",259.94,261.21,265.15,259.18,16.37M,-2.51%
131,"Oct 01, 2020",266.63,265.35,268.33,264.80,20.01M,1.81%
